dealer_id,dealer_name,dealer_type,parent_dealer_id,geo_id,city,state,pincode,email,phone,status,established_date
MDL0001,Andhra Pradesh Regional Motors,Main,,STATE-001,Andhra Pradesh,Andhra Pradesh,HQ,regional.andhrapradesh@dealerhub.in,9548817264,Active,2013-06-21
MDL0002,Arunachal Pradesh Regional Motors,Main,,STATE-002,Arunachal Pradesh,Arunachal Pradesh,HQ,regional.arunachalpradesh@oemmotors.in,9781825997,Active,2004-04-23
MDL0003,Assam Regional Motors,Main,,STATE-003,Assam,Assam,HQ,regional.assam@oemmotors.in,9331943637,Active,2015-10-12
MDL0004,Bihar Regional Motors,Main,,STATE-004,Bihar,Bihar,HQ,regional.bihar@oemmotors.in,9967426949,Active,2019-08-09
MDL0005,Chhattisgarh Regional Motors,Main,,STATE-005,Chhattisgarh,Chhattisgarh,HQ,regional.chhattisgarh@industrialfleet.in,9297118916,Active,2009-04-30
MDL0006,Goa Regional Motors,Main,,STATE-006,Goa,Goa,HQ,regional.goa@industrialfleet.in,9353463589,Active,2015-09-07
MDL0007,Gujarat Regional Motors,Main,,STATE-007,Gujarat,Gujarat,HQ,regional.gujarat@dealerhub.in,9115162683,Active,2006-04-28
MDL0008,Haryana Regional Motors,Main,,STATE-008,Haryana,Haryana,HQ,regional.haryana@industrialfleet.in,9559766715,Active,1999-07-22
MDL0009,Himachal Pradesh Regional Motors,Main,,STATE-009,Himachal Pradesh,Himachal Pradesh,HQ,regional.himachalpradesh@dealerhub.in,9952283666,Active,2014-11-07
MDL0010,Jharkhand Regional Motors,Main,,STATE-010,Jharkhand,Jharkhand,HQ,regional.jharkhand@dealerhub.in,9349854300,Active,2013-07-25
MDL0011,Karnataka Regional Motors,Main,,STATE-011,Karnataka,Karnataka,HQ,regional.karnataka@dealerhub.in,9569070465,Active,2014-07-27
MDL0012,Kerala Regional Motors,Main,,STATE-012,Kerala,Kerala,HQ,regional.kerala@oemmotors.in,9761306950,Active,2007-11-29
MDL0013,Madhya Pradesh Regional Motors,Main,,STATE-013,Madhya Pradesh,Madhya Pradesh,HQ,regional.madhyapradesh@dealerhub.in,9453185197,Active,2010-02-11
MDL0014,Maharashtra Regional Motors,Main,,STATE-014,Maharashtra,Maharashtra,HQ,regional.maharashtra@oemmotors.in,9845085997,Active,2000-08-06
